ID,メーカー,タイプ,商品名,汁,容量,麺量,熱量,たんぱく質,脂質,炭水化物,食塩_麺かやく,食塩_スープ,ビタミンB1,ビタミンB2,カルシウム
1,日清,カップ,カップヌードル,あり,78,65,351,10.5,14.6,44.5,2.4,2.5,0.19,0.32,105
2,日清,カップ,カップヌードル カレー,あり,87,60,422,9.0,20.4,50.6,2.2,2.2,0.21,0.20,108
3,日清,カップ,カップヌードル シーフードヌードル,あり,75,60,340,8.9,13.6,45.5,2.2,2.5,1.01,0.31,96
4,日清,カップ,カップヌードル チリトマトヌードル,あり,76,60,354,8.4,15.4,45.5,1.7,2.3,1.45,0.25,96
5,日清,カップ,カップヌードル しお,あり,77,60,364,8.5,16.8,44.6,2.2,2.8,0.89,0.25,98
6,日清,カップ,カップヌードル 欧風チーズカレー,あり,85,60,420,8.8,21.9,46.9,2.1,2.3,0.21,0.25,124
7,日清,カップ,カップヌードル 味噌,あり,82,60,385,9.1,18.1,46.5,2.1,2.8,0.19,0.26,171
8,日清,カップ,カップヌードル 辛麺,あり,82,60,379,9.1,17.0,47.4,2.7,3.0,0.74,0.29,106
9,日清,カップ,カップヌードル にんにく豚骨,あり,79,60,382,8.1,19.1,44.3,2.3,2.3,0.63,0.21,95
10,日清,カップ,カップヌードル パクチー香るトムヤムクン,あり,75,60,354,7.8,16.0,44.6,1.7,3.3,0.94,0.24,83
11,日清,カップ,カップヌードル 魚介仕立てのペペロンチーノ,あり,71,60,322,7.7,13.6,42.3,1.8,2.3,0.57,0.24,90
12,日清,カップ,カップヌードル ポルチーニ香るきのこポタージュ,あり,79,60,386,7.7,18.5,47.1,1.9,2.3,0.19,0.22,107
13,日清,カップ,カップヌードル 甘辛コチュジャンのチーズタッカルビ味,あり,84,60,396,9.3,18.3,48.6,2.8,2.8,0.19,0.25,104
14,日清,カップ,カップヌードル ガーリックチーズフォンデュ味,あり,84,60,384,7.8,15.9,52.3,2.3,2.3,0.17,0.21,111
